"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8302","Widgets are Visible","Promotional","Tue Jun 10 14:59:29 CEST 2025","passed","Tue Jun 10 14:59:37 CEST 2025","","missions.spec.ts","",""
"","7096","Testing gaming history","Functionality","Tue Jun 10 14:59:57 CEST 2025","passed","Tue Jun 10 15:00:04 CEST 2025","Omega Release Smoke Test for Profile","omegaprofile.spec.ts","",""
"","9319","User can login with Correct credentials","Functionality","Tue Jun 10 14:42:43 CEST 2025","passed","Tue Jun 10 14:42:53 CEST 2025","Login functionality","loginform.spec.ts","",""
"","11493","Open a Coin Pack purchase view","Transactional","Tue Jun 10 14:55:46 CEST 2025","passed","Tue Jun 10 14:55:57 CEST 2025","","coinpack.spec.ts","",""
"","6391","Testing edit profile","Functionality","Tue Jun 10 14:59:50 CEST 2025","passed","Tue Jun 10 14:59:56 CEST 2025","Omega Release Smoke Test for Profile","omegaprofile.spec.ts","",""
"","3053","User fails to login with incorrect credentials","Functionality","Tue Jun 10 14:44:38 CEST 2025","passed","Tue Jun 10 14:44:41 CEST 2025","Login functionality","loginform.spec.ts","",""
"","23553","Search Functionality displays on click","Functionality","Tue Jun 10 15:02:38 CEST 2025","passed","Tue Jun 10 15:03:01 CEST 2025","","search.spec.ts","",""
"","9333","Open the redemption view","Transactional","Tue Jun 10 15:01:49 CEST 2025","passed","Tue Jun 10 15:01:59 CEST 2025","","redeem.spec.ts","",""
