"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8365","Search Functionality displays on click","Functionality","Thu May 22 16:19:06 CEST 2025","passed","Thu May 22 16:19:14 CEST 2025","","search.spec.ts","",""
"","8185","User can login with Correct credentials","Functionality","Thu May 22 16:24:03 CEST 2025","passed","Thu May 22 16:24:11 CEST 2025","Login functionality","loginform.spec.ts","",""
"","8299","Open the redemption view","Transactional","Thu May 22 16:26:17 CEST 2025","passed","Thu May 22 16:26:25 CEST 2025","","redeem.spec.ts","",""
"","7835","Widgets are Visible","Promotional","Thu May 22 16:25:11 CEST 2025","passed","Thu May 22 16:25:19 CEST 2025","","missions.spec.ts","",""
"","7228","Testing edit profile","Functionality","Thu May 22 16:16:50 CEST 2025","passed","Thu May 22 16:16:57 CEST 2025","Omega Release Smoke Test for Profile","omegaprofile.spec.ts","",""
"","9822","Testing gaming history","Functionality","Thu May 22 16:16:50 CEST 2025","passed","Thu May 22 16:17:00 CEST 2025","Omega Release Smoke Test for Profile","omegaprofile.spec.ts","",""
"","13002","User fails to login with incorrect credentials","Functionality","Thu May 22 16:24:11 CEST 2025","passed","Thu May 22 16:24:24 CEST 2025","Login functionality","loginform.spec.ts","",""
"","9733","Open a Coin Pack purchase view","Transactional","Thu May 22 16:19:38 CEST 2025","passed","Thu May 22 16:19:47 CEST 2025","","coinpack.spec.ts","",""
